Belgie;;;
Gew.Brussel;Belgie;;
Vlaanderen;Belgie;;
Wallonie;Belgie;;
Henegouwen;Wallonie;;
Limburg;Vlaanderen;;
Luik;Wallonie;;
Luxemburg;Wallonie;;
Namen;Wallonie;;
Oost-Vlaanderen;Vlaanderen;;
Prov.Antwerpen;Vlaanderen;;
Vlaams-Brabant;Vlaanderen;;
Waals-Brabant;Wallonie;;
West-Vlaanderen;Vlaanderen;;
Arr.Aalst;Oost-Vlaanderen;;
Arr.Antwerpen;Prov.Antwerpen;;
Arr.Arlon;Luxemburg;;
Arr.Ath;Henegouwen;;
Arr.Bastogne;Luxemburg;;
Arr.Brugge;West-Vlaanderen;;
Arr.Charleroi;Henegouwen;;
Arr.Dendermonde;Oost-Vlaanderen;;
Arr.Diksmuide;West-Vlaanderen;;
Arr.Dinant;Namen;;
Arr.Eeklo;Oost-Vlaanderen;;
Arr.Gent;Oost-Vlaanderen;;
Arr.Halle-Vilvoorde;Vlaams-Brabant;;
Arr.Hasselt;Limburg;;
Arr.Huy;Luik;;
Arr.Ieper;West-Vlaanderen;;
Arr.Kortrijk;West-Vlaanderen;;
Arr.Leuven;Vlaams-Brabant;;
Arr.Liege;Luik;;
Arr.Maaseik;Limburg;;
Arr.Marche-en-Famenne;Luxemburg;;
Arr.Mechelen;Prov.Antwerpen;;
Arr.Mons;Henegouwen;;
Arr.Mouscron;Henegouwen;;
Arr.Namur;Namen;;
Arr.Neufchateau;Luxemburg;;
Arr.Nivelles;Waals-Brabant;;
Arr.Oostende;West-Vlaanderen;;
Arr.Oudenaarde;Oost-Vlaanderen;;
Arr.Philippeville;Namen;;
Arr.Roeselare;West-Vlaanderen;;
Arr.Sint-Niklaas;Oost-Vlaanderen;;
Arr.Soignies;Henegouwen;;
Arr.Thuin;Henegouwen;;
Arr.Tielt;West-Vlaanderen;;
Arr.Tongeren;Limburg;;
Arr.Tournai;Henegouwen;;
Arr.Turnhout;Prov.Antwerpen;;
Arr.Verviers;Luik;;
Arr.Veurne;West-Vlaanderen;;
Arr.Virton;Luxemburg;;
Arr.Waremme;Luik;;
Aalst;Arr.Aalst;77123;78.12
Aalter;Arr.Gent;18707;81.92
Aarschot;Arr.Leuven;27883;62.51
Aartselaar;Arr.Antwerpen;14292;10.93
Affligem;Arr.Halle-Vilvoorde;11880;17.70
Aiseau-Presles;Arr.Charleroi;10741;22.19
Alken;Arr.Tongeren;11049;28.14
Alveringem;Arr.Veurne;4887;80.01
Amay;Arr.Huy;13119;27.61
Ambleve;Arr.Verviers;5257;125.15
Andenne;Arr.Dinant;24252;86.17
Anderlecht;Gew.Brussel;95275;17.74
Anderlues;Arr.Thuin;11554;17.02
Anhee;Arr.Dinant;6910;65.67
Ans;Arr.Liege;27313;23.35
Anthisnes;Arr.Huy;4001;37.08
Antoing;Arr.Tournai;7534;31.13
Antwerpen;Arr.Antwerpen;460319;204.51
Anzegem;Arr.Kortrijk;13899;41.79
Ardooie;Arr.Tielt;9122;34.58
Arendonk;Arr.Turnhout;12175;55.38
Arlon;Arr.Arlon;26176;118.64
As;Arr.Hasselt;7488;22.07
Asse;Arr.Halle-Vilvoorde;29054;49.64
Assenede;Arr.Eeklo;13509;87.22
Assesse;Arr.Namur;6248;78.16
Ath;Arr.Ath;26711;126.95
Attert;Arr.Arlon;4644;70.94
Aubange;Arr.Arlon;14979;45.60
Aubel;Arr.Verviers;4056;18.83
Avelgem;Arr.Kortrijk;9418;21.75
Awans;Arr.Liege;8685;27.16
Aywaille;Arr.Liege;10697;79.97
Baarle-Hertog;Arr.Turnhout;2281;7.48
Baelen;Arr.Verviers;4052;85.73
Balen;Arr.Turnhout;20135;72.88
Bassenge;Arr.Liege;8360;38.17
Bastogne;Arr.Bastogne;14045;172.03
Beaumont;Arr.Thuin;6667;92.97
Beauraing;Arr.Dinant;8321;174.55
Beauvechain;Arr.Nivelles;6496;38.58
Beernem;Arr.Brugge;14565;71.68
Beerse;Arr.Turnhout;16350;37.48
Beersel;Arr.Halle-Vilvoorde;23374;30.01
Begijnendijk;Arr.Leuven;9327;17.62
Bekkevoort;Arr.Leuven;5832;37.17
Beloeil;Arr.Ath;13299;61.55
Beringen;Arr.Hasselt;40930;78.30
Berlaar;Arr.Mechelen;10484;24.57
Berlare;Arr.Dendermonde;14013;37.82
Berloz;Arr.Waremme;2778;14.49
Bernissart;Arr.Ath;11453;43.42
Bertem;Arr.Leuven;9126;29.75
Bertogne;Arr.Bastogne;2902;91.67
Bertrix;Arr.Neufchateau;8171;137.70
Bever;Arr.Halle-Vilvoorde;2011;19.78
Beveren;Arr.Sint-Niklaas;45588;150.18
Beyne-Heusay;Arr.Liege;11750;7.32
Bierbeek;Arr.Leuven;9106;39.73
Bievre;Arr.Dinant;3129;109.59
Bilzen;Arr.Tongeren;30008;75.90
Binche;Arr.Thuin;32337;60.66
Blankenberge;Arr.Brugge;18129;17.41
Blegny;Arr.Liege;12708;26.07
Bocholt;Arr.Maaseik;12285;59.34
Boechout;Arr.Antwerpen;12057;20.66
Bonheiden;Arr.Mechelen;14411;29.27
Boom;Arr.Antwerpen;15890;7.37
Boortmeerbeek;Arr.Leuven;11479;18.64
Borgloon;Arr.Tongeren;10142;51.12
Bornem;Arr.Mechelen;20019;45.76
Borsbeek;Arr.Antwerpen;10271;3.92
Bouillon;Arr.Neufchateau;5453;149.09
Boussu;Arr.Mons;20083;20.01
Boutersem;Arr.Leuven;7512;30.75
Braine-l'Alleud;Arr.Nivelles;36925;52.12
Braine-le-Chateau;Arr.Nivelles;9459;22.70
Braine-le-Comte;Arr.Soignies;20168;84.68
Braives;Arr.Waremme;5526;44.00
Brakel;Arr.Oudenaarde;13668;56.46
Brasschaat;Arr.Antwerpen;37155;38.49
Brecht;Arr.Antwerpen;26127;90.84
Bredene;Arr.Oostende;15124;13.08
Bree;Arr.Maaseik;14472;64.96
Brugelette;Arr.Ath;3271;28.40
Brugge;Arr.Brugge;117172;138.40
Brunehaut;Arr.Tournai;7674;46.11
Brussel;Gew.Brussel;143346;32.61
Buggenhout;Arr.Dendermonde;13765;25.25
Bullingen;Arr.Verviers;5390;150.49
Burdinne;Arr.Huy;2791;32.57
Burg-Reuland;Arr.Verviers;3902;108.96
Butgenbach;Arr.Verviers;5568;97.31
Celles;Arr.Tournai;5447;67.14
Cerfontaine;Arr.Philippeville;4507;83.45
Chapelle-Lez-Herlaimont;Arr.Charleroi;13896;18.10
Charleroi;Arr.Charleroi;201433;102.08
Chastre;Arr.Nivelles;6672;31.27
Chatelet;Arr.Charleroi;35542;27.03
Chaudfontaine;Arr.Liege;20912;25.52
Chaumont-Gistoux;Arr.Nivelles;10859;48.09
Chievres;Arr.Ath;6115;46.91
Chimay;Arr.Thuin;9726;197.10
Chiny;Arr.Virton;4949;113.69
Ciney;Arr.Dinant;14898;147.56
Clavier;Arr.Huy;4161;79.12
Colfontaine;Arr.Mons;19994;13.62
Comblain-Au-Pont;Arr.Liege;5334;22.68
Comines-Warneton;Arr.Mouscron;17472;61.09
Courcelles;Arr.Charleroi;29502;44.24
Court-Saint-Etienne;Arr.Nivelles;9315;26.64
Couvin;Arr.Philippeville;13433;206.93
Crisnee;Arr.Waremme;2740;16.83
Dalhem;Arr.Liege;6446;36.06
Damme;Arr.Brugge;10919;89.52
Daverdisse;Arr.Neufchateau;1343;56.40
De Haan;Arr.Oostende;11872;42.17
De Panne;Arr.Veurne;9973;23.90
De Pinte;Arr.Gent;10176;17.98
Deerlijk;Arr.Kortrijk;11324;16.82
Deinze;Arr.Gent;28161;75.53
Denderleeuw;Arr.Aalst;17189;13.77
Dendermonde;Arr.Dendermonde;43182;55.67
Dentergem;Arr.Tielt;8127;25.94
Dessel;Arr.Turnhout;8730;27.03
Destelbergen;Arr.Gent;17122;26.56
Diepenbeek;Arr.Hasselt;17707;41.19
Diest;Arr.Leuven;22663;58.20
Diksmuide;Arr.Diksmuide;15682;149.40
Dilbeek;Arr.Halle-Vilvoorde;39366;41.18
Dilsen-Stokkem;Arr.Maaseik;18915;65.61
Dinant;Arr.Dinant;12938;99.80
Dison;Arr.Verviers;14107;14.01
Doische;Arr.Philippeville;2810;84.02
Donceel;Arr.Waremme;2817;23.31
Dour;Arr.Mons;16739;33.32
Drogenbos;Arr.Halle-Vilvoorde;4888;2.49
Duffel;Arr.Mechelen;16025;22.71
Durbuy;Arr.Marche-en-Famenne;10495;156.61
Ecaussines;Arr.Soignies;9908;34.77
Edegem;Arr.Antwerpen;21729;8.65
Eeklo;Arr.Eeklo;19404;30.05
Eghezee;Arr.Namur;14209;102.81
Ellezelles;Arr.Ath;5678;44.69
Elsene;Gew.Brussel;77540;6.34
Enghien;Arr.Soignies;11837;40.59
Engis;Arr.Huy;5621;27.74
Erezee;Arr.Marche-en-Famenne;2892;78.44
Erpe-Mere;Arr.Aalst;19004;34.03
Erquelinnes;Arr.Thuin;9524;44.23
Esneux;Arr.Liege;13107;34.05
Essen;Arr.Antwerpen;16933;47.48
Estaimpuis;Arr.Tournai;9567;31.75
Estinnes;Arr.Thuin;7387;72.73
Etalle;Arr.Virton;5267;78.10
Etterbeek;Gew.Brussel;41264;3.15
Eupen;Arr.Verviers;18161;103.74
Evere;Gew.Brussel;33175;5.02
Evergem;Arr.Gent;32089;75.04
Faimes;Arr.Waremme;3426;28.48
Farciennes;Arr.Charleroi;11120;10.39
Fauvillers;Arr.Bastogne;1972;74.11
Fernelmont;Arr.Namur;6699;65.61
Ferrieres;Arr.Huy;4444;56.90
Fexhe-Le-Haut-Clocher;Arr.Waremme;2998;19.25
Flemalle;Arr.Liege;25167;36.68
Fleron;Arr.Liege;16010;13.72
Fleurus;Arr.Charleroi;22308;59.28
Flobecq;Arr.Ath;3231;23.00
Floreffe;Arr.Namur;7405;38.89
Florennes;Arr.Philippeville;10684;133.55
Florenville;Arr.Virton;5511;146.91
Fontaine-L'Eveque;Arr.Charleroi;16756;28.41
Fosses-La-Ville;Arr.Namur;9251;63.24
Frameries;Arr.Mons;20644;25.95
Frasnes-Lez-Anvaing;Arr.Ath;10944;112.44
Froidchapelle;Arr.Thuin;3640;86.03
Galmaarden;Arr.Halle-Vilvoorde;8032;34.93
Ganshoren;Gew.Brussel;20760;2.46
Gavere;Arr.Gent;12003;31.35
Gedinne;Arr.Dinant;4365;151.56
Geel;Arr.Turnhout;35006;109.85
Geer;Arr.Waremme;2817;23.62
Geetbets;Arr.Leuven;5755;35.17
Gembloux;Arr.Namur;21760;95.86
Genappe;Arr.Nivelles;14116;89.57
Genk;Arr.Hasselt;63622;87.85
Gent;Arr.Gent;231671;156.18
Geraardsbergen;Arr.Aalst;31262;79.71
Gerpinnes;Arr.Charleroi;12015;47.10
Gesves;Arr.Namur;6279;64.92
Gingelom;Arr.Hasselt;7764;56.49
Gistel;Arr.Oostende;11185;42.25
Glabbeek;Arr.Leuven;5151;26.78
Gooik;Arr.Halle-Vilvoorde;8843;39.70
Gouvy;Arr.Bastogne;4681;165.11
Grace-Hollogne;Arr.Liege;21786;34.24
Grez-Doiceau;Arr.Nivelles;12350;55.44
Grimbergen;Arr.Halle-Vilvoorde;33847;38.61
Grobbendonk;Arr.Turnhout;10715;28.36
Haacht;Arr.Leuven;13533;30.57
Haaltert;Arr.Aalst;17176;30.30
Habay;Arr.Virton;7689;103.64
Halen;Arr.Hasselt;8534;36.29
Halle;Arr.Halle-Vilvoorde;34743;44.40
Ham;Arr.Hasselt;9658;32.69
Hamme;Arr.Dendermonde;23122;40.21
Hamoir;Arr.Huy;3598;27.80
Hamois;Arr.Dinant;6644;76.42
Hamont-Achel;Arr.Maaseik;13744;43.66
Ham-Sur-Heure-Nalinnes;Arr.Thuin;13376;45.68
Hannut;Arr.Waremme;14165;86.53
Harelbeke;Arr.Kortrijk;26084;29.14
Hasselt;Arr.Hasselt;69720;102.24
Hastiere;Arr.Dinant;5224;56.46
Havelange;Arr.Dinant;4749;104.73
Hechtel-Eksel;Arr.Maaseik;11461;76.70
Heers;Arr.Tongeren;6719;53.07
Heist-Op-Den-Berg;Arr.Mechelen;38264;86.46
Helecine;Arr.Nivelles;3022;16.62
Hemiksem;Arr.Antwerpen;9551;5.44
Hensies;Arr.Mons;6668;25.99
Herbeumont;Arr.Neufchateau;1515;58.81
Herent;Arr.Leuven;19134;32.73
Herentals;Arr.Turnhout;26017;48.56
Herenthout;Arr.Turnhout;8399;23.55
Herk-De-Stad;Arr.Hasselt;11732;42.83
Herne;Arr.Halle-Vilvoorde;6435;44.63
Heron;Arr.Huy;4501;38.32
Herselt;Arr.Turnhout;13787;52.32
Herstal;Arr.Liege;37109;23.54
Herstappe;Arr.Tongeren;82;1.35
Herve;Arr.Verviers;16760;56.84
Herzele;Arr.Aalst;16644;47.40
Heusden-Zolder;Arr.Hasselt;30721;53.23
Heuvelland;Arr.Ieper;8246;94.24
Hoegaarden;Arr.Leuven;6164;33.93
Hoeilaart;Arr.Halle-Vilvoorde;10119;20.43
Hoeselt;Arr.Tongeren;9222;30.02
Holsbeek;Arr.Leuven;9117;38.50
Honnelles;Arr.Mons;4972;43.65
Hooglede;Arr.Roeselare;9836;37.84
Hoogstraten;Arr.Turnhout;18561;105.32
Horebeke;Arr.Oudenaarde;1982;11.20
Hotton;Arr.Marche-en-Famenne;5038;57.32
Houffalize;Arr.Bastogne;4672;166.58
Houthalen-Helchteren;Arr.Maaseik;29877;78.27
Houthulst;Arr.Diksmuide;9024;55.89
Houyet;Arr.Dinant;4468;122.31
Hove;Arr.Antwerpen;8273;5.99
Huldenberg;Arr.Leuven;9113;39.64
Hulshout;Arr.Turnhout;9124;17.35
Huy;Arr.Huy;20021;47.74
Ichtegem;Arr.Oostende;13351;45.33
Ieper;Arr.Ieper;34963;130.61
Incourt;Arr.Nivelles;4533;38.79
Ingelmunster;Arr.Roeselare;10632;16.16
Ittre;Arr.Nivelles;6001;34.92
Izegem;Arr.Roeselare;26566;25.48
Jabbeke;Arr.Brugge;13643;53.76
Jalhay;Arr.Verviers;7899;107.75
Jemeppe-Sur-Sambre;Arr.Namur;17966;46.80
Jette;Gew.Brussel;42644;5.04
Jodoigne;Arr.Nivelles;12303;73.31
Juprelle;Arr.Liege;8360;35.36
Jurbise;Arr.Mons;9482;57.86
Kalmthout;Arr.Antwerpen;17461;59.45
Kampenhout;Arr.Halle-Vilvoorde;10921;33.49
Kapellen;Arr.Antwerpen;25957;37.11
Kapelle-Op-Den-Bos;Arr.Halle-Vilvoorde;8886;15.25
Kaprijke;Arr.Eeklo;6090;33.71
Kasterlee;Arr.Turnhout;17925;71.52
Keerbergen;Arr.Leuven;12451;18.39
Kinrooi;Arr.Maaseik;12014;54.76
Kluisbergen;Arr.Oudenaarde;6119;30.38
Knesselare;Arr.Gent;7881;37.27
Knokke-Heist;Arr.Brugge;33839;56.44
Koekelare;Arr.Diksmuide;8258;39.19
