Belgie;;;
Koekelberg;Gew.Brussel;17899;1.17
Koksijde;Arr.Veurne;20972;43.96
Kontich;Arr.Antwerpen;20220;23.67
Kortemark;Arr.Diksmuide;12053;55.00
Kortenaken;Arr.Leuven;7502;49.06
Kortenberg;Arr.Leuven;18214;34.52
Kortessem;Arr.Tongeren;8072;33.90
Kortrijk;Arr.Kortrijk;73631;80.02
Kraainem;Arr.Halle-Vilvoorde;12976;5.80
Kruibeke;Arr.Sint-Niklaas;15106;33.42
Kruishoutem;Arr.Oudenaarde;8107;46.76
Kuurne;Arr.Kortrijk;12588;10.01
La Bruyere;Arr.Namur;8220;52.98
La Calamine;Arr.Verviers;10331;18.12
La Louviere;Arr.Soignies;77013;64.24
La Roche-En-Ardenne;Arr.Marche-en-Famenne;4250;147.52
Laakdal;Arr.Turnhout;14893;42.48
Laarne;Arr.Dendermonde;11651;32.07
Lanaken;Arr.Tongeren;24522;59.00
Landen;Arr.Leuven;14602;54.05
Langemark-Poelkapelle;Arr.Ieper;7759;52.53
Lasne;Arr.Nivelles;13959;47.22
Le Roeulx;Arr.Soignies;7976;42.80
Lebbeke;Arr.Dendermonde;17523;26.92
Lede;Arr.Aalst;16956;29.69
Ledegem;Arr.Roeselare;9269;24.76
Leglise;Arr.Neufchateau;4035;172.92
Lendelede;Arr.Kortrijk;5424;13.15
Lennik;Arr.Halle-Vilvoorde;8726;30.80
Lens;Arr.Mons;3897;49.42
Leopoldsburg;Arr.Hasselt;14309;22.49
Les Bons Villers;Arr.Charleroi;8855;42.55
Lessines;Arr.Soignies;17752;72.29
Leuven;Arr.Leuven;90143;56.63
Leuze-En-Hainaut;Arr.Tournai;13178;73.53
Libin;Arr.Neufchateau;4584;139.72
Libramont-Chevigny;Arr.Neufchateau;9775;177.86
Lichtervelde;Arr.Roeselare;8386;25.93
Liedekerke;Arr.Halle-Vilvoorde;11928;10.08
Liege;Arr.Liege;186196;69.39
Lier;Arr.Mechelen;33141;49.70
Lierde;Arr.Oudenaarde;6411;26.13
Lierneux;Arr.Verviers;3363;92.08
Lille;Arr.Turnhout;15382;59.40
Limbourg;Arr.Verviers;5616;24.63
Lincent;Arr.Waremme;3007;14.75
Linkebeek;Arr.Halle-Vilvoorde;4751;4.15
Lint;Arr.Antwerpen;7990;5.57
Linter;Arr.Leuven;7012;36.38
Lobbes;Arr.Thuin;5509;32.08
Lochristi;Arr.Gent;20017;60.34
Lokeren;Arr.Sint-Niklaas;37646;67.50
Lommel;Arr.Maaseik;31726;102.37
Londerzeel;Arr.Halle-Vilvoorde;17452;36.29
Lontzen;Arr.Verviers;5065;28.73
Lo-Reninge;Arr.Diksmuide;3312;62.94
Lovendegem;Arr.Gent;9314;19.48
Lubbeek;Arr.Leuven;13591;46.13
Lummen;Arr.Hasselt;13675;53.38
Maarkedal;Arr.Oudenaarde;6445;45.63
Maaseik;Arr.Maaseik;23608;76.91
Maasmechelen;Arr.Tongeren;36226;76.28
Machelen;Arr.Halle-Vilvoorde;12463;11.59
Maldegem;Arr.Eeklo;22229;94.64
Malle;Arr.Antwerpen;14155;51.99
Malmedy;Arr.Verviers;11729;99.96
Manage;Arr.Charleroi;22315;19.60
Manhay;Arr.Marche-en-Famenne;3157;119.81
Marche-En-Famenne;Arr.Marche-en-Famenne;16886;121.40
Marchin;Arr.Huy;5105;30.00
Martelange;Arr.Arlon;1522;29.67
Mechelen;Arr.Mechelen;77992;65.19
Meerhout;Arr.Turnhout;9345;36.29
Meeuwen-Gruitrode;Arr.Maaseik;12525;91.26
Meise;Arr.Halle-Vilvoorde;18482;34.82
Meix-Devant-Virton;Arr.Virton;2685;54.20
Melle;Arr.Gent;10477;15.21
Menen;Arr.Kortrijk;32345;33.07
Merbes-Le-Chateau;Arr.Thuin;4083;30.24
Merchtem;Arr.Halle-Vilvoorde;14728;36.72
Merelbeke;Arr.Gent;22370;36.65
Merksplas;Arr.Turnhout;8121;44.56
Mesen;Arr.Ieper;971;3.58
Messancy;Arr.Arlon;7276;52.43
Mettet;Arr.Namur;11839;116.78
Meulebeke;Arr.Tielt;10958;29.35
Middelkerke;Arr.Oostende;17735;75.65
Modave;Arr.Huy;3716;40.37
Moerbeke;Arr.Gent;5842;37.80
Mol;Arr.Turnhout;32652;114.26
Momignies;Arr.Thuin;5112;85.58
Mons;Arr.Mons;90946;146.53
Mont-De-L'Enclus;Arr.Tournai;3365;26.93
Montigny-Le-Tilleul;Arr.Charleroi;10191;15.10
Mont-Saint-Guibert;Arr.Nivelles;6354;18.63
Moorslede;Arr.Roeselare;10596;35.34
Morlanwelz-Mariemont;Arr.Thuin;18487;20.26
Mortsel;Arr.Antwerpen;24379;7.78
Mouscron;Arr.Mouscron;52639;40.08
Musson;Arr.Virton;4137;34.81
Namur;Arr.Namur;106954;175.69
Nandrin;Arr.Huy;5534;35.90
Nassogne;Arr.Marche-en-Famenne;4925;111.96
Nazareth;Arr.Gent;10916;35.19
Neerpelt;Arr.Maaseik;16061;42.78
Neufchateau;Arr.Neufchateau;6445;113.79
Neupre;Arr.Liege;9798;31.69
Nevele;Arr.Gent;11146;51.89
Niel;Arr.Antwerpen;8771;5.27
Nieuwerkerken;Arr.Hasselt;6582;22.46
Nieuwpoort;Arr.Veurne;10885;31.00
Nijlen;Arr.Mechelen;20783;39.09
Ninove;Arr.Aalst;35467;72.57
Nivelles;Arr.Nivelles;24224;60.60
Ohey;Arr.Namur;4242;56.62
Olen;Arr.Turnhout;11226;23.17
Olne;Arr.Verviers;3804;15.99
Onhaye;Arr.Dinant;3101;65.53
Oostende;Arr.Oostende;68739;37.72
Oosterzele;Arr.Gent;13195;43.12
Oostkamp;Arr.Brugge;21680;79.65
Oostrozebeke;Arr.Tielt;7434;16.62
Opglabbeek;Arr.Hasselt;9492;24.98
Opwijk;Arr.Halle-Vilvoorde;12139;19.69
Oreye;Arr.Waremme;3423;19.64
Orp-Jauche;Arr.Nivelles;7760;50.50
Ottignies-Louvain-La-Neuve;Arr.Nivelles;29439;32.96
Oudenaarde;Arr.Oudenaarde;28295;68.06
Oudenburg;Arr.Oostende;8887;35.38
Oudergem;Gew.Brussel;29329;9.03
Oud-Heverlee;Arr.Leuven;10794;31.14
Oud-Turnhout;Arr.Turnhout;12607;38.80
Ouffet;Arr.Huy;2489;40.22
Oupeye;Arr.Liege;23586;36.11
Overijse;Arr.Halle-Vilvoorde;24041;44.43
Overpelt;Arr.Maaseik;13304;40.85
Paliseul;Arr.Neufchateau;5060;112.96
Pecq;Arr.Tournai;5290;32.91
Peer;Arr.Maaseik;15778;86.95
Pepingen;Arr.Halle-Vilvoorde;4343;36.05
Pepinster;Arr.Verviers;9536;24.79
Peruwelz;Arr.Tournai;16799;60.56
Perwez;Arr.Nivelles;7408;50.81
Philippeville;Arr.Philippeville;8300;156.71
Pittem;Arr.Tielt;6613;34.42
Plombieres;Arr.Verviers;9627;53.18
Pont-a-Celles;Arr.Charleroi;16234;55.73
Poperinge;Arr.Ieper;19564;119.33
Profondeville;Arr.Namur;11258;50.34
Putte;Arr.Mechelen;15583;34.96
Puurs;Arr.Mechelen;15903;33.41
Quaregnon;Arr.Mons;18701;11.08
Quevy;Arr.Mons;7738;65.16
Quievrain;Arr.Mons;6565;21.22
Raeren;Arr.Verviers;10057;74.21
Ramillies;Arr.Nivelles;5753;48.68
Ranst;Arr.Antwerpen;17829;43.58
Ravels;Arr.Turnhout;13605;94.99
Rebecq;Arr.Nivelles;10145;39.08
Remicourt;Arr.Waremme;5037;22.58
Rendeux;Arr.Marche-en-Famenne;2257;68.83
Retie;Arr.Turnhout;10250;48.39
Riemst;Arr.Tongeren;15873;57.88
Rijkevorsel;Arr.Turnhout;10660;46.79
Rixensart;Arr.Nivelles;21424;17.54
Rochefort;Arr.Dinant;12032;165.27
Roeselare;Arr.Roeselare;55638;59.79
Ronse;Arr.Oudenaarde;24025;34.48
Roosdaal;Arr.Halle-Vilvoorde;10716;21.69
Rotselaar;Arr.Leuven;15055;37.57
Rouvroy;Arr.Virton;1978;27.68
Ruiselede;Arr.Tielt;5113;30.20
Rumes;Arr.Tournai;5105;23.72
Rumst;Arr.Antwerpen;14624;19.90
Sainte-Ode;Arr.Bastogne;2320;97.86
Saint-Georges-Sur-Meuse;Arr.Waremme;6591;20.90
Saint-Ghislain;Arr.Mons;22399;70.18
Saint-Hubert;Arr.Neufchateau;5712;111.16
Saint-Leger;Arr.Virton;3153;35.86
Saint-Nicolas;Arr.Liege;22651;6.84
Sambreville;Arr.Namur;27007;34.20
Sankt-Vith;Arr.Verviers;9144;146.93
Schaarbeek;Gew.Brussel;111574;8.14
Schelle;Arr.Antwerpen;7815;7.80
Scherpenheuvel-Zichem;Arr.Leuven;21955;50.50
Schilde;Arr.Antwerpen;19564;35.99
Schoten;Arr.Antwerpen;33159;29.55
Seneffe;Arr.Charleroi;10678;62.77
Seraing;Arr.Liege;60672;35.34
Silly;Arr.Soignies;7919;67.68
Sint-Agatha-Berchem;Gew.Brussel;20068;2.95
Sint-Amands;Arr.Mechelen;7725;15.58
Sint-Genesius-Rode;Arr.Halle-Vilvoorde;17932;22.77
Sint-Gillis;Gew.Brussel;43974;2.52
Sint-Gillis-Waas;Arr.Sint-Niklaas;17885;54.98
Sint-Jans-Molenbeek;Gew.Brussel;79448;5.89
Sint-Joost-Ten-Node;Gew.Brussel;23287;1.14
Sint-Katelijne-Waver;Arr.Mechelen;19518;36.12
Sint-Lambrechts-Woluwe;Gew.Brussel;47849;7.22
Sint-Laureins;Arr.Eeklo;6543;74.50
Sint-Lievens-Houtem;Arr.Aalst;9320;26.67
Sint-Martens-Latem;Arr.Gent;8283;14.34
Sint-Niklaas;Arr.Sint-Niklaas;69465;83.80
Sint-Pieters-Leeuw;Arr.Halle-Vilvoorde;30691;40.38
Sint-Pieters-Woluwe;Gew.Brussel;38040;8.85
Sint-Truiden;Arr.Hasselt;38120;106.90
Sivry-Rance;Arr.Thuin;4598;72.97
Soignies;Arr.Soignies;25239;110.30
Sombreffe;Arr.Namur;7554;35.78
Somme-Leuze;Arr.Dinant;4574;95.09
Soumagne;Arr.Liege;15303;27.14
Spa;Arr.Verviers;10543;39.85
Spiere-Helkijn;Arr.Kortrijk;2032;10.78
Sprimont;Arr.Liege;12798;74.28
Stabroek;Arr.Antwerpen;17516;21.51
Staden;Arr.Roeselare;10942;46.24
Stavelot;Arr.Verviers;6646;85.07
Steenokkerzeel;Arr.Halle-Vilvoorde;10754;23.46
Stekene;Arr.Sint-Niklaas;16882;44.80
Stoumont;Arr.Verviers;2969;108.45
Tellin;Arr.Neufchateau;2318;56.64
Temse;Arr.Sint-Niklaas;26236;39.92
Tenneville;Arr.Marche-en-Famenne;2539;91.81
Terhulpen;Arr.Nivelles;7197;15.60
Ternat;Arr.Halle-Vilvoorde;14575;24.48
Tervuren;Arr.Leuven;20570;32.92
Tessenderlo;Arr.Hasselt;16680;51.35
Theux;Arr.Verviers;11624;83.36
Thimister-Clermont;Arr.Verviers;5296;28.69
Thuin;Arr.Thuin;14621;76.17
Tielt;Arr.Tielt;19169;68.50
Tielt-Winge;Arr.Leuven;9928;44.16
Tienen;Arr.Leuven;31797;71.77
Tinlot;Arr.Huy;2339;37.12
Tintigny;Arr.Virton;3623;81.79
Tongeren;Arr.Tongeren;29673;87.56
Torhout;Arr.Brugge;19305;45.23
Tournai;Arr.Tournai;67553;213.75
Tremelo;Arr.Leuven;13661;21.57
Trois-Ponts;Arr.Verviers;2454;68.90
Trooz;Arr.Liege;7606;24.20
Tubize;Arr.Nivelles;22201;32.66
Turnhout;Arr.Turnhout;39760;56.06
Ukkel;Gew.Brussel;75169;22.91
Vaux-Sur-Sure;Arr.Bastogne;4613;135.87
Verlaine;Arr.Huy;3513;24.21
Verviers;Arr.Verviers;53275;33.07
Veurne;Arr.Veurne;11903;96.34
Vielsalm;Arr.Bastogne;7356;139.76
Villers-La-Ville;Arr.Nivelles;9481;47.45
Villers-Le-Bouillet;Arr.Huy;6052;32.71
Vilvoorde;Arr.Halle-Vilvoorde;37200;21.47
Viroinval;Arr.Philippeville;5668;120.90
Virton;Arr.Virton;11162;94.49
Vise;Arr.Liege;16849;27.99
Vleteren;Arr.Ieper;3624;38.15
Voeren;Arr.Tongeren;4283;50.63
Vorselaar;Arr.Turnhout;7324;27.62
Vorst;Gew.Brussel;47505;6.25
Vosselaar;Arr.Turnhout;10106;11.85
Vresse-Sur-Semois;Arr.Dinant;2855;101.04
Waarschoot;Arr.Gent;7828;21.91
Waasmunster;Arr.Dendermonde;10359;31.93
Wachtebeke;Arr.Gent;6844;34.53
Waimes;Arr.Verviers;6710;96.93
Walcourt;Arr.Philippeville;17458;123.18
Walhain;Arr.Nivelles;6003;37.94
Wanze;Arr.Huy;12592;43.95
Waregem;Arr.Kortrijk;35854;44.34
Waremme;Arr.Waremme;13938;31.04
Wasseiges;Arr.Waremme;2486;24.45
Waterloo;Arr.Nivelles;29251;21.03
Watermaal-Bosvoorde;Gew.Brussel;24112;12.93
Wavre;Arr.Nivelles;32072;41.80
Welkenraedt;Arr.Verviers;9098;24.47
Wellen;Arr.Tongeren;6861;26.72
Wellin;Arr.Neufchateau;2952;67.52
Wemmel;Arr.Halle-Vilvoorde;14671;8.74
Wervik;Arr.Ieper;17663;43.61
Westerlo;Arr.Turnhout;22691;55.13
Wetteren;Arr.Dendermonde;23168;36.68
Wevelgem;Arr.Kortrijk;31064;38.76
Wezembeek-Oppem;Arr.Halle-Vilvoorde;13486;6.82
Wichelen;Arr.Dendermonde;11137;22.87
Wielsbeke;Arr.Tielt;8882;21.76
Wijnegem;Arr.Antwerpen;8806;7.86
Willebroek;Arr.Mechelen;22947;27.41
Wingene;Arr.Tielt;13082;68.42
Wommelgem;Arr.Antwerpen;12088;13.01
Wortegem-Petegem;Arr.Oudenaarde;5961;41.96
Wuustwezel;Arr.Antwerpen;18240;89.43
Yvoir;Arr.Dinant;8409;56.84
Zandhoven;Arr.Antwerpen;12274;40.10
Zaventem;Arr.Halle-Vilvoorde;28495;27.62
Zedelgem;Arr.Brugge;21811;60.34
Zele;Arr.Dendermonde;20300;33.06
Zelzate;Arr.Eeklo;12107;13.71
Zemst;Arr.Halle-Vilvoorde;21236;42.83
Zingem;Arr.Oudenaarde;6778;23.93
Zoersel;Arr.Antwerpen;20515;38.65
Zomergem;Arr.Gent;7977;38.78
Zonhoven;Arr.Hasselt;19848;39.34
Zonnebeke;Arr.Ieper;11669;67.57
Zottegem;Arr.Aalst;24425;56.65
Zoutleeuw;Arr.Leuven;7907;46.73
Zuienkerke;Arr.Brugge;2763;48.86
Zulte;Arr.Gent;14577;32.52
Zutendaal;Arr.Hasselt;6878;32.07
Zwalm;Arr.Oudenaarde;7784;33.82
Zwevegem;Arr.Kortrijk;23660;63.24
Zwijndrecht;Arr.Antwerpen;18101;17.82